claim_id,claim,source_id,pdf_page,page_label,relationship,evidence_type,method_notes,limitations,analyst_status,confidence
P1-001,"Correlated timing residuals require covariance-aware fitting of both residuals and the timing design matrix.",SRC-002,2,"562","supports","method and simulation","GLS expressed through Cholesky whitening of observations and model","Depends on an adequate covariance estimate","verified fact","high"
P1-002,"Annual power is strongly coupled to astrometric fitting.",SRC-002,2,"562","supports","observed example and method","Position and proper motion act through annual harmonics","Example pulsar differs from J1744","verified fact","high"
P1-003,"Empirical null maxima and injection recovery can calibrate a pulsar-planet trigger and sensitivity.",SRC-001,4,"4","supports","simulation method","10000 noise-only trials and 1000 injection trials per frequency with a 90 percent recovery boundary","Nulls were white rather than release-covariance realizations","verified fact","high"
P1-004,"Fitting the timing model can absorb an injected planet signal.",SRC-001,5,"5","supports","simulation result","TEMPO refitting imposed an approximately 2.5 sensitivity penalty in the authors' synthetic test","Single simulated pulsar and no red noise in that calibration","verified fact","moderate"
P1-005,"Sensitivity near one year is materially degraded by fitted position proper motion and distance.",SRC-001,3,"3","supports","method and simulation result","The paper describes near-impossibility at 1 yr and a sensitivity trough","Different release and timing implementation","verified fact","high"
P1-006,"Modern planet searches fit deterministic timing white noise red noise and planet parameters simultaneously.",SRC-003,3,"3","supports","Bayesian method","Extended enterprise with log-period bins","Mostly ordinary pulsars and computationally heavier than Pilot 1","verified fact","high"
P1-007,"A high periodic-model evidence value can still reflect quasi-periodic intrinsic behavior.",SRC-003,5,"5","supports","observed candidate dispositions","Multiple significant periodicities were attributed to QP or magnetospheric alternatives","Pulse-profile evidence is unavailable in the current NANOGrav TOA-only pilot","verified fact","high"
P1-008,"A dedicated one-year bin is appropriate because astrometric fitting reduces sensitivity there.",SRC-004,3,"3","supports","analysis design","EPTA uses a dedicated 340 to 390 day bin","Exact width is data and model dependent","verified fact","high"
P1-009,"J1744 has significant achromatic red noise and long-period ambiguity in an independent MSP data set.",SRC-004,4,"4","supports","observed result","J1744 residual comparison includes red-noise terms and planet and QP fits compete for long-timescale power","EPTA data differ from NANOGrav 15-year data","verified fact","moderate"
P1-010,"Projected-mass upper limits are appropriately reported by period bin and exclude the annual sensitivity gap.",SRC-004,6,"6","supports","posterior limits","95 percent projected-mass limits by period bin with one-year exclusion","Bayesian posterior limits are not identical to frequentist injection completeness","verified fact","high"
